ticker,timestamp,trade_date,sentiment,conviction,status,is_real_judgment,reasoning,current_price,p_3m,chg_3m,p_15m,chg_15m,p_60m,chg_60m,p_3pm,chg_3pm,dir_3m,dir_15m,dir_60m,dir_3pm,score
HINDCOPPER,2026-05-13T11:00:40,2026-05-13,NEUTRAL,NEUTRAL,FALLBACK,False,,594.55,596.0,0.2439,594.65,0.0168,592.0,-0.4289,594.0,-0.0925,0.0,0.0,-0.0,-0.0,
JSWDULUX,2026-05-13T11:55:46,2026-05-13,NEUTRAL,NEUTRAL,FALLBACK,False,,2988.7,2983.6,-0.1706,2984.8,-0.1305,2981.8,-0.2309,2968.3,-0.6826,-0.0,-0.0,-0.0,-0.0,
GODIGIT,2026-05-18T09:15:29,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,307.8,306.5,-0.4224,306.4,-0.4548,304.9,-0.9422,308.9,0.3574,-0.0,-0.0,-0.0,0.0,
GODIGIT,2026-05-18T09:20:30,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,306.45,307.25,0.2611,305.7,-0.2447,305.0,-0.4732,308.9,0.7995,0.0,-0.0,-0.0,0.0,
GODIGIT,2026-05-18T09:25:31,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,306.5,306.55,0.0163,305.45,-0.3426,304.15,-0.7667,308.9,0.783,0.0,-0.0,-0.0,0.0,
GODIGIT,2026-05-18T09:30:32,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,306.4,306.1,-0.0979,305.15,-0.408,304.85,-0.5059,308.9,0.8159,-0.0,-0.0,-0.0,0.0,
GLAND,2026-05-18T09:35:34,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,2092.8,2098.8,0.2867,2109.9,0.8171,2126.0,1.5864,2143.1,2.4035,0.0,0.0,0.0,0.0,
GLAND,2026-05-18T09:40:35,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,2101.5,2100.4,-0.0523,2102.0,0.0238,2138.4,1.7559,2143.1,1.9795,-0.0,0.0,0.0,0.0,
GLAND,2026-05-18T09:45:36,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,2104.1,2100.2,-0.1854,2107.3,0.1521,2142.0,1.8012,2143.1,1.8535,-0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T09:50:38,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1661.4,1664.0,0.1565,1678.8,1.0473,1699.8,2.3113,1697.4,2.1668,0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T09:55:38,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1665.0,1658.6,-0.3844,1691.2,1.5736,1700.1,2.1081,1697.4,1.9459,-0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T10:00:39,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1678.2,1673.9,-0.2562,1691.2,0.7746,1706.6,1.6923,1697.4,1.1441,-0.0,0.0,0.0,0.0,
GESHIP,2026-05-18T10:05:40,2026-05-18,NEUTRAL,NEUTRAL,FALLBACK,False,,1678.8,1673.5,-0.3157,1712.3,1.9955,1699.2,1.2152,1697.4,1.1079,-0.0,0.0,0.0,0.0,
